,A_ALL_POW,A_ALL_IND,A_ALL_MOB,A_ALL_RES,A_NH3_AGR,A_ALL_SLV,A_ALL_OTH,B_ALL_POW,B_ALL_IND,B_ALL_MOB,B_ALL_RES,B_NH3_AGR,B_ALL_SLV,B_ALL_OTH,C_ALL_POW,C_ALL_IND,C_ALL_MOB,C_ALL_RES,C_NH3_AGR,C_ALL_SLV,C_ALL_OTH,D_ALL_POW,D_ALL_IND,D_ALL_MOB,D_ALL_RES,D_NH3_AGR,D_ALL_SLV,D_ALL_OTH,E_ALL_POW,E_ALL_IND,E_ALL_MOB,E_ALL_RES,E_NH3_AGR,E_ALL_SLV,E_ALL_OTH,F_ALL_POW,F_ALL_IND,F_ALL_MOB,F_ALL_RES,F_NH3_AGR,F_ALL_SLV,F_ALL_OTH,G_ALL_POW,G_ALL_IND,G_ALL_MOB,G_ALL_RES,G_NH3_AGR,G_ALL_SLV,G_ALL_OTH,H_ALL_POW,H_ALL_IND,H_ALL_MOB,H_ALL_RES,H_NH3_AGR,H_ALL_SLV,H_ALL_OTH,I_ALL_POW,I_ALL_IND,I_ALL_MOB,I_ALL_RES,I_NH3_AGR,I_ALL_SLV,I_ALL_OTH,J_ALL_POW,J_ALL_IND,J_ALL_MOB,J_ALL_RES,J_NH3_AGR,J_ALL_SLV,J_ALL_OTH,K_ALL_POW,K_ALL_IND,K_ALL_MOB,K_ALL_RES,K_NH3_AGR,K_ALL_SLV,K_ALL_OTH,L_ALL_POW,L_ALL_IND,L_ALL_MOB,L_ALL_RES,L_NH3_AGR,L_ALL_SLV,L_ALL_OTH,M_ALL_POW,M_ALL_IND,M_ALL_MOB,M_ALL_RES,M_NH3_AGR,M_ALL_SLV,M_ALL_OTH,N_ALL_POW,N_ALL_IND,N_ALL_MOB,N_ALL_RES,N_NH3_AGR,N_ALL_SLV,N_ALL_OTH,O_ALL_POW,O_ALL_IND,O_ALL_MOB,O_ALL_RES,O_NH3_AGR,O_ALL_SLV,O_ALL_OTH,P_ALL_POW,P_ALL_IND,P_ALL_MOB,P_ALL_RES,P_NH3_AGR,P_ALL_SLV,P_ALL_OTH,Q_ALL_POW,Q_ALL_IND,Q_ALL_MOB,Q_ALL_RES,Q_NH3_AGR,Q_ALL_SLV,Q_ALL_OTH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.5144718,0.9278511,0.9452474,0.692404,1.109061,1.314118,0.7211841,0.6118037,1.087023,0.9490009,0.5464695,0.7782518,1.037776,0.6975744,0.5048553,1.364466,1.046988,1.192157,1.249898,1.107776,1.391724,1.274414,0.9518083,0.7080502,1.247662,0.7865066,1.38235,1.054449,0.8723639,1.06986,0.6216288,0.8406302,1.497667,1.284915,0.5833062,0.5749632,1.379334,1.436674,0.8423949,1.177865,0.7726842,1.114586,1.479445,1.167206,0.5403877,1.098366,1.173381,0.6809094,1.043005,1.134045,0.7100174,0.7252474,1.410467,0.5039066,0.636515,0.9427403,0.5204048,0.562197,0.8125837,1.02153,0.9942674,0.8201324,0.5851731,1.063631,1.073416,1.192929,1.343084,1.045586,1.198912,1.126322,0.5812866,1.337027,1.057083,0.8110129,0.6716718,0.9521382,0.8324689,0.7021734,1.286681,0.5808709,1.150625,1.063941,0.7520999,0.6675851,1.311438,1.187838,1.001828,1.281261,0.8056744,1.393249,0.7420585,1.034433,1.22409,1.395865,0.5200953,0.7525517,0.7412171,0.9783146,1.17337,0.7180514,1.386741,0.7623018,0.8649381,0.7397298,0.9787102,1.197991,0.9195982,0.5282669,1.284186,0.5343769,1.445089,1.468231,0.996659,1.3949,0.5495007,0.787085,1.343032,1.20878,0.5127564
3,1.491511,1.186824,0.6176964,0.9804891,0.5842639,0.6334018,1.262937,0.6677093,0.7279398,1.38162,1.122726,0.53515,1.103804,1.091108,0.6255896,0.5157784,0.9990029,0.7019256,0.8013749,0.9778838,1.068409,1.002107,0.9333607,1.046298,0.8870484,1.023827,1.431396,0.9802869,0.5499597,0.5522688,1.284519,0.5993245,1.453058,0.8832115,1.47654,1.268458,0.6446054,0.9297152,1.000865,0.9953085,0.5574976,1.250455,1.075327,1.250615,0.9116513,0.7837241,0.9894276,0.5495406,0.5186231,0.6855741,1.256324,0.513562,1.300779,1.072373,1.466534,0.9554496,0.8877979,1.268614,1.149563,1.072937,1.077006,0.8955589,1.066437,1.438171,1.309601,1.429832,0.7985247,0.967915,1.191169,0.619632,1.309948,0.7698948,1.028605,1.468566,1.36783,0.7177456,1.098234,1.285911,0.8096462,0.8322254,0.8968995,0.8194669,1.336255,0.8893856,1.395945,0.8470423,1.402096,1.418186,1.11601,1.246091,1.40566,0.5317684,0.8801521,0.8068346,1.205803,1.138959,0.7225141,0.7828869,1.416014,0.6507502,1.303022,1.096513,0.8973613,0.9489911,0.7131262,1.062036,1.472457,1.185147,1.204543,1.111289,0.8822153,1.439387,0.9839682,0.8041343,1.274939,0.5075388,1.309304,0.7341858,1.060638
4,1.31529,1.020411,1.398561,0.913795,0.5118578,1.25318,0.7849308,1.427361,0.8377637,0.8181513,1.243482,0.9610782,1.032397,1.083896,0.7753022,0.6536122,0.7596056,1.374763,1.101259,1.046409,1.244621,0.5104648,1.276143,0.5205657,1.226376,1.450799,0.6978002,0.6628143,1.393303,1.330831,1.167691,0.59111,1.48243,0.6273701,1.411106,0.8444277,1.327456,0.8913843,1.047519,0.8349466,1.192317,0.522481,1.422383,1.126208,0.7428066,1.408637,0.9694894,1.150072,0.7023142,0.5631504,1.486876,1.086516,0.8030845,0.9000527,0.8901435,0.9673248,1.369268,0.777995,1.167101,1.097699,1.367879,0.7845354,0.7569759,0.9917677,1.110644,1.27127,1.066767,1.405027,0.794974,1.471241,1.238656,0.9307214,0.9607655,1.416313,1.223509,0.6142195,1.438082,1.323457,0.727759,1.285225,0.9592834,0.89847,0.7753637,0.988741,0.6378308,0.7137983,1.296419,1.374114,0.7747266,1.180636,1.10016,1.257457,0.7992829,1.487319,1.317067,0.5051471,0.8723613,1.362497,0.7405644,0.9590363,1.342489,1.039462,1.476637,1.464491,1.31688,0.5454784,1.094796,0.9729622,1.184807,0.9563534,1.254243,1.386165,1.225236,1.149363,1.188416,0.8365052,0.7509576,1.294267,1.376669
5,1.335318,0.5330922,0.6829675,1.1053,0.6655428,0.7434314,0.5689384,0.8069741,1.161745,1.149824,1.053724,1.220049,1.11745,1.461665,0.5877492,1.244821,0.8710915,1.085873,0.537771,0.758119,1.025854,0.6619395,0.8143064,1.086823,1.272045,0.5074407,1.394721,0.54992,1.048903,0.5094161,0.9588267,1.309838,1.143714,0.5880705,1.171685,0.860047,0.9466616,0.6213367,0.7166914,0.8359482,1.060773,0.7548709,0.8602344,0.8078774,1.4472,1.324044,1.347463,1.483092,0.7511058,0.6060948,1.288938,1.008933,1.169518,0.5435498,0.6402234,1.19076,1.366244,1.479336,0.8289072,1.291973,0.9627572,0.845284,0.803522,1.489829,0.903497,1.31628,1.423984,0.5587996,0.6095374,0.8457242,0.9231596,1.174755,1.260659,1.199789,1.297346,1.333483,1.139205,0.9412999,0.6692057,0.764825,1.426633,1.487053,0.5758063,0.6803086,0.84462,1.443036,1.218434,1.125165,0.8989304,0.6837738,1.335565,0.6817092,1.39243,0.5095029,1.41548,1.166755,1.296664,1.232905,0.6372916,1.081429,0.8917014,0.5669743,0.6094757,1.36182,1.456125,0.6618049,0.958404,1.444729,0.5962042,0.8306573,0.6362063,0.9712986,0.9048957,1.42685,1.208611,1.174549,1.117821,0.5982134,1.016973
6,1.443695,1.223819,0.9223692,1.189021,0.5145662,0.8329959,0.5448252,0.5565489,1.013282,1.118091,0.9571339,0.7063,1.22986,1.020174,1.027288,1.282199,0.9037322,1.451486,0.9723734,1.323552,1.146411,1.486205,1.37896,1.155773,0.6850675,0.562499,0.935268,1.117084,0.9661074,0.5409305,1.491998,0.5531355,1.480911,1.148175,1.354111,1.038741,0.8412945,1.133712,1.06591,0.9374393,0.6032461,0.6639408,0.8229202,1.478114,0.9204045,0.5825008,1.208356,1.022222,1.149271,1.338911,1.395817,1.148601,1.02584,1.180921,0.6036402,0.548633,1.244859,1.079096,0.953196,0.6167619,1.113797,1.286866,0.9783558,1.405879,0.6945479,0.8844603,0.5528677,0.9946644,0.5516823,0.8760471,1.068124,1.03252,0.6783097,0.7224342,0.8190718,1.245692,1.175784,0.6879286,1.31975,0.6866974,0.9760124,1.300546,1.1291,1.364696,0.9576134,1.144317,0.8397955,0.7743992,0.8429698,1.47622,0.5438816,1.299698,1.080516,1.221617,1.002211,0.5038801,1.330831,1.479542,0.5710656,0.6296774,0.8649203,1.062374,0.7486394,1.110724,1.366185,0.7132971,0.8562324,0.7034058,0.6736052,0.7502282,0.7228485,1.494012,1.221846,1.285535,0.5282495,1.372024,0.5323662,1.30116,1.453414
7,0.5017028,0.9428566,1.431908,0.7506246,0.5321655,0.6537064,0.7645038,1.145116,0.9577228,0.9236731,1.360107,0.5712428,0.6172811,0.9502246,1.253123,1.422617,1.163959,1.218376,1.473222,1.031816,0.9068241,1.29889,1.098162,0.6142074,0.9626095,0.9045193,0.6653518,0.9199814,0.9184568,1.067529,0.5381701,0.7668926,1.081277,0.7208347,1.329793,1.271739,1.117966,0.6480148,1.435077,1.411202,1.348793,0.7173767,0.9810355,0.5433026,0.5228422,0.6516057,1.201731,1.009122,0.8699121,0.7909293,0.5577756,0.998703,0.7344703,0.7914489,1.343407,1.415313,1.367387,0.8802007,0.6255151,1.157296,0.7998297,0.8320224,0.9141458,0.8831849,0.9928767,1.388181,0.6774662,1.400298,1.282403,1.200651,1.267151,0.9651057,1.152317,0.5892632,0.6455229,0.7069754,1.10301,1.254859,0.8663652,1.023504,1.178238,0.51873,0.8000693,0.950441,1.284754,0.5978109,1.062455,0.9398276,0.7516289,0.747992,0.576987,0.6502653,0.5599997,0.8677134,1.393446,0.9292709,1.040731,1.073185,1.081986,0.7471609,0.8000234,0.6884831,0.9313206,0.738497,1.038379,1.316384,0.659767,1.274581,0.983426,0.5092804,0.8912914,0.814836,0.7388354,1.258831,0.785007,1.332124,0.6194531,1.426205,1.277515
8,1.475726,1.350139,0.7361692,1.087945,0.8044537,0.5672642,0.9438919,0.9907634,0.7539434,1.054753,0.8362164,1.372717,0.541933,1.319204,0.8243644,1.305353,1.367011,1.336598,1.099562,0.5683696,1.202529,0.8253737,0.9564016,0.8484685,0.8779027,0.624651,0.852367,0.6954884,1.10482,0.6238212,0.5098178,0.6645262,1.225049,0.507244,1.418168,0.7240008,1.489814,1.230876,0.7090178,1.273342,0.784992,1.402349,0.8213192,0.7296739,1.381778,1.201889,1.147903,0.7321311,0.8503276,1.378806,0.8928569,0.5707154,0.9016424,0.8620702,1.196157,0.6378526,0.543737,1.25805,1.439491,0.8380802,0.9554555,0.9859035,0.6439517,1.067435,0.9314342,0.8966902,1.285168,1.352693,1.49777,0.8253636,1.056586,0.8326846,1.437198,0.603069,1.059776,0.929422,0.5547359,0.605372,0.5182254,1.038514,1.089248,0.5667987,0.6577125,0.6332977,1.171207,0.9394626,0.9503838,1.050479,1.230583,0.8835819,1.055264,0.5907166,1.250541,1.329117,1.253538,0.7865885,0.9541551,1.267867,0.6232397,0.6835529,0.5196994,1.38271,0.5093614,1.013789,0.8222197,0.6074292,1.49931,1.348573,1.378693,1.042694,0.5706168,1.204509,0.9523245,0.500977,0.8924526,0.5909963,1.430562,1.060654,1.358915
9,0.6338064,1.344182,1.069825,0.6176791,0.9700998,1.095812,0.9128492,1.220581,0.7495311,0.6592891,0.8627669,0.9775224,0.878488,1.208465,1.146792,1.231538,0.6699373,1.353058,0.9642571,1.201278,1.246687,0.7768103,0.5928073,0.5820071,1.437965,0.6798336,1.413392,0.9313584,0.7386602,0.902381,0.7310266,1.081001,1.394101,0.8551022,0.5372464,0.5945329,0.9731002,0.6311648,0.6079672,1.13135,1.14458,0.7162286,0.6740424,1.244702,1.041468,1.343896,0.5385212,0.6051519,1.291685,1.171517,0.9812195,0.5525038,0.5371178,0.8451369,1.466539,1.048661,0.6379019,0.708262,1.226223,0.5943452,1.257099,0.6939909,1.215172,0.9346501,0.5407626,1.094266,0.9065246,0.6972201,1.042969,0.5363729,0.6215081,1.417871,1.420875,0.9603938,1.348337,0.5681335,1.252768,0.527383,0.8502574,1.299321,0.6872333,0.5457402,1.164674,1.079643,1.047032,0.5910228,0.618925,1.338554,0.5669646,0.5052503,0.519131,1.102338,1.256451,1.325338,1.453873,0.854255,1.163041,1.414392,1.378641,0.7483368,0.5112766,0.5732288,0.8202258,1.139425,0.5755792,0.6814558,0.844129,1.282348,0.9009389,1.118007,1.054228,0.5355188,0.9233822,1.319654,0.7196119,1.319237,1.466817,1.083497,1.113489
10,0.9878408,1.180471,0.7987365,1.141712,1.020628,1.3311,1.305813,1.270536,1.046187,1.318609,0.7550719,1.188376,1.086242,1.225178,0.9952922,0.8584322,0.5505144,0.6377483,1.454064,0.7022058,1.046894,0.5990767,1.316947,0.8304765,1.463522,0.6336121,1.092134,0.761797,0.9958349,1.434636,1.008772,0.625609,0.7884038,0.7539012,1.121861,1.257232,0.8451985,1.41555,0.931297,1.43198,0.8438375,1.093434,1.468993,1.39483,0.9754352,1.365852,0.7992059,1.110705,1.274362,0.5517691,1.330032,1.25974,1.367743,1.061115,0.815346,0.651264,0.6645158,0.5894402,0.5753375,1.399516,0.5021436,0.8722322,1.25231,0.8017243,0.7348369,0.7129281,0.9624718,1.257341,1.459084,0.5926716,0.9408675,0.6849645,0.5814513,0.8845844,0.9661751,1.152043,0.6425834,0.9656948,0.5425412,1.01017,1.396835,1.205751,0.7749354,1.451873,1.128413,0.6420288,1.128646,0.977121,0.6878593,0.5330974,0.9062078,0.5057582,1.19025,1.044281,1.329836,0.5886757,1.208783,1.102774,1.034993,0.5000072,1.103381,0.566936,1.357388,0.9713048,0.8078122,1.331083,1.497618,1.328913,0.7722201,1.479545,0.8461806,0.9254057,1.038219,0.780984,1.177681,0.5806859,1.41378,0.6577633,1.257242
