Region_Name,SIG_ENG_NM,True_Avg_PM2.5,Pred_Avg_PM2.5,Difference (Pred - True)
Seoul,Jongno-gu,19.134909,18.895967,-0.2389412
Seoul,Nowon-gu,20.400839,20.075119,-0.32571983
Seoul,Songpa-gu,20.653564,20.347475,-0.3060894
Seoul,Yeongdeungpo-gu,21.25797,20.996424,-0.2615471
Seoul,Yongsan-gu,20.594492,20.315691,-0.27880096
Incheon,Ganghwa-gun,12.927131,12.76803,-0.15910053
Incheon,Jung-gu,15.400241,15.277865,-0.12237549
Incheon,Michuhol-gu,23.265944,23.02823,-0.23771286
Incheon,Namdong-gu,21.865046,21.481735,-0.38331032
Incheon,Ongjin-gun,11.899758,11.77829,-0.121468544
Incheon,Seo-gu,19.676447,19.42239,-0.25405693
Incheon,Yeonsu-gu,17.476482,17.28519,-0.19129181
Busan,Busanjin-gu,12.607863,12.497266,-0.11059761
Busan,Gangseo-gu,12.309477,12.223819,-0.08565807
Busan,Geumjeong-gu,11.624524,11.554943,-0.06958103
Busan,Gijang-gun,10.800375,10.727453,-0.07292175
Busan,Haeundae-gu,11.303781,11.183911,-0.11986923
Busan,Nam-gu,9.804957,9.703324,-0.10163307
Busan,Saha-gu,10.982631,10.909477,-0.073153496
Busan,Yeongdo-gu,10.645386,10.571293,-0.074092865
Daegu,Buk-gu,14.377288,14.218052,-0.15923595
Daegu,Dalseo-gu,17.834433,17.622921,-0.21151161
Daegu,Dalseong-gun,16.063694,15.882273,-0.18142128
Daegu,Dong-gu,13.203928,13.099089,-0.104839325
Daegu,Suseong-gu,16.410082,16.1989,-0.21118164
Gwangju,Buk-gu,13.447258,13.330269,-0.116989136
Gwangju,Dong-gu,13.106938,13.006808,-0.10013008
Gwangju,Gwangsan-gu,14.117427,13.969499,-0.14792824
Gwangju,Seo-gu,15.385513,15.168824,-0.21668911
Gyeonggi,Anseong-si,20.01528,19.73962,-0.27565956
Gyeonggi,Bucheon-si,21.294003,20.997551,-0.29645157
Gyeonggi,"Bundang-gu, Seongnam-si",20.40503,20.070097,-0.33493233
Gyeonggi,"Cheoin-gu, Yongin-si",19.700571,19.410238,-0.2903328
Gyeonggi,"Danwon-gu, Ansan-si",15.6175785,15.455664,-0.16191483
Gyeonggi,"Deogyang-gu, Goyang-si",18.253387,18.006662,-0.24672508
Gyeonggi,Dongducheon-si,16.191378,16.090982,-0.1003952
Gyeonggi,Gapyeong-gun,15.003357,14.878847,-0.12450981
Gyeonggi,"Giheung-gu, Yongin-si",22.178537,21.714445,-0.46409225
Gyeonggi,Gimpo-si,16.696709,16.478403,-0.21830559
Gyeonggi,Gwacheon-si,20.402895,20.101292,-0.30160332
Gyeonggi,Gwangju-si,18.899286,18.632696,-0.26659012
Gyeonggi,Gwangmyeong-si,21.43482,21.075068,-0.35975266
Gyeonggi,"Gwonseon-gu, Suwon-si",22.033041,21.577803,-0.45523834
Gyeonggi,Hanam-si,19.330992,19.023468,-0.30752373
Gyeonggi,Hwaseong-si,19.0042,18.75075,-0.2534504
Gyeonggi,Icheon-si,20.219797,19.886395,-0.33340263
Gyeonggi,"Ilsandong-gu, Goyang-si",18.874516,18.546228,-0.32828712
Gyeonggi,Namyangju-si,17.161163,16.96633,-0.19483376
Gyeonggi,Paju-si,15.409228,15.24024,-0.16898823
Gyeonggi,Pocheon-si,15.288431,15.189155,-0.09927654
Gyeonggi,Pyeongtaek-si,20.60625,20.284487,-0.321764
Gyeonggi,Siheung-si,20.250166,19.91425,-0.33591652
Gyeonggi,"Sujeong-gu, Seongnam-si",20.669313,20.342678,-0.32663536
Gyeonggi,Uijeongbu-si,18.83488,18.538443,-0.29643822
Gyeonggi,Uiwang-si,19.89212,19.585135,-0.30698586
Gyeonggi,Yangju-si,17.587372,17.404003,-0.18336868
Gyeonggi,Yangpyeong-gun,16.636585,16.436604,-0.19998169
Gyeonggi,Yeoju-si,18.71263,18.426487,-0.28614235
Gyeonggi,Yeoncheon-gun,13.90227,13.762764,-0.13950634
Gangwon,Cheorwon-gun,12.695973,12.559561,-0.13641262
Gangwon,Chuncheon-si,14.032765,13.92463,-0.10813522
Gangwon,Donghae-si,9.650608,9.595057,-0.05555153
Gangwon,Gangneung-si,9.062657,9.0343275,-0.02832985
Gangwon,Goseong-gun,8.723977,8.648152,-0.07582474
Gangwon,Hoengseong-gun,14.132113,14.003387,-0.128726
Gangwon,Hongcheon-gun,13.065324,12.970114,-0.095210075
Gangwon,Hwacheon-gun,12.790765,12.717359,-0.07340622
Gangwon,Inje-gun,11.233022,11.194178,-0.03884411
Gangwon,Jeongseon-gun,10.5468645,10.540175,-0.0066890717
Gangwon,Pyeongchang-gun,10.7929945,10.781415,-0.011579514
Gangwon,Samcheok-si,8.819548,8.812377,-0.007170677
Gangwon,Sokcho-si,9.504419,9.458229,-0.04619026
Gangwon,Taebaek-si,9.6136465,9.625005,0.011358261
Gangwon,Wonju-si,15.741813,15.525186,-0.21662712
Gangwon,Yanggu-gun,11.620134,11.536914,-0.08322048
Gangwon,Yangyang-gun,9.20024,9.160334,-0.0399065
Gangwon,Yeongwol-gun,12.669892,12.605438,-0.06445408
Chungbuk,Boeun-gun,16.182325,15.940352,-0.24197292
Chungbuk,"Cheongwon-gu, Cheongju-si",18.369057,18.10474,-0.26431656
Chungbuk,Chungju-si,17.423332,17.147757,-0.27557564
Chungbuk,Danyang-gun,14.939543,14.833944,-0.10559845
Chungbuk,Eumseong-gun,18.838316,18.571705,-0.2666111
Chungbuk,Goesan-gun,16.860615,16.620121,-0.24049377
Chungbuk,"Heungdeok-gu, Cheongju-si",19.250553,19.000786,-0.2497673
Chungbuk,Jecheon-si,15.701449,15.501487,-0.19996262
Chungbuk,Jeungpyeong-gun,18.159872,17.896688,-0.2631836
Chungbuk,Jincheon-gun,19.321293,19.052979,-0.26831436
Chungbuk,Okcheon-gun,16.49487,16.27245,-0.22241974
Chungbuk,"Sangdang-gu, Cheongju-si",16.987085,16.768251,-0.21883392
Chungbuk,"Seowon-gu, Cheongju-si",19.925398,19.558832,-0.3665657
Chungbuk,Yeongdong-gun,15.10978,14.931802,-0.17797852
Chung-Nam,Asan-si,19.858286,19.612957,-0.2453289
Chung-Nam,Boryeong-si,13.566221,13.414676,-0.15154552
Chung-Nam,Buyeo-gun,17.262325,17.073202,-0.18912315
Chung-Nam,Cheongyang-gun,17.29034,17.082531,-0.20780945
Chung-Nam,Dangjin-si,24.071575,23.573484,-0.49809074
Chung-Nam,"Dongnam-gu, Cheonan-si",19.349401,19.125996,-0.22340584
Chung-Nam,Geumsan-gun,15.058604,14.90549,-0.15311432
Chung-Nam,Gongju-si,17.90115,17.68496,-0.21619034
Chung-Nam,Gyeryong-si,17.012016,16.833939,-0.1780777
