Column,Row,Ratio,Region_Code,Region_Name,SIG_ENG_NM
23,7,100.0,N,Jeju,Seogwipo-si
24,7,100.0,N,Jeju,Seogwipo-si
22,8,100.0,N,Jeju,Seogwipo-si
23,8,0.0,N,Jeju,Jeju-si
23,8,100.0,N,Jeju,Seogwipo-si
24,8,100.0,N,Jeju,Seogwipo-si
25,8,100.0,N,Jeju,Seogwipo-si
26,8,100.0,N,Jeju,Seogwipo-si
27,8,100.0,N,Jeju,Seogwipo-si
28,8,100.0,N,Jeju,Seogwipo-si
22,9,85.2,N,Jeju,Jeju-si
22,9,14.8,N,Jeju,Seogwipo-si
23,9,79.5,N,Jeju,Jeju-si
23,9,20.5,N,Jeju,Seogwipo-si
24,9,31.9,N,Jeju,Jeju-si
24,9,68.1,N,Jeju,Seogwipo-si
25,9,9.1,N,Jeju,Jeju-si
25,9,90.9,N,Jeju,Seogwipo-si
26,9,0.0,N,Jeju,Jeju-si
26,9,100.0,N,Jeju,Seogwipo-si
27,9,100.0,N,Jeju,Seogwipo-si
28,9,100.0,N,Jeju,Seogwipo-si
29,9,100.0,N,Jeju,Seogwipo-si
30,9,100.0,N,Jeju,Seogwipo-si
23,10,100.0,N,Jeju,Jeju-si
24,10,100.0,N,Jeju,Jeju-si
25,10,98.5,N,Jeju,Jeju-si
25,10,1.5,N,Jeju,Seogwipo-si
26,10,89.5,N,Jeju,Jeju-si
26,10,10.5,N,Jeju,Seogwipo-si
27,10,61.1,N,Jeju,Jeju-si
27,10,38.9,N,Jeju,Seogwipo-si
28,10,21.1,N,Jeju,Jeju-si
28,10,78.9,N,Jeju,Seogwipo-si
29,10,0.8,N,Jeju,Jeju-si
29,10,99.2,N,Jeju,Seogwipo-si
30,10,100.0,N,Jeju,Seogwipo-si
23,11,100.0,N,Jeju,Jeju-si
24,11,100.0,N,Jeju,Jeju-si
25,11,100.0,N,Jeju,Jeju-si
26,11,100.0,N,Jeju,Jeju-si
27,11,100.0,N,Jeju,Jeju-si
28,11,100.0,N,Jeju,Jeju-si
29,11,82.0,N,Jeju,Jeju-si
29,11,18.0,N,Jeju,Seogwipo-si
30,11,45.0,N,Jeju,Jeju-si
30,11,55.0,N,Jeju,Seogwipo-si
31,11,100.0,N,Jeju,Jeju-si
26,12,100.0,N,Jeju,Jeju-si
27,12,100.0,N,Jeju,Jeju-si
28,12,100.0,N,Jeju,Jeju-si
29,12,100.0,N,Jeju,Jeju-si
30,12,100.0,N,Jeju,Jeju-si
24,14,100.0,N,Jeju,Jeju-si
24,16,100.0,N,Jeju,Jeju-si
25,16,100.0,N,Jeju,Jeju-si
27,16,100.0,N,Jeju,Jeju-si
23,17,100.0,N,Jeju,Jeju-si
24,17,100.0,N,Jeju,Jeju-si
25,17,100.0,N,Jeju,Jeju-si
30,17,100.0,M,Jeon-Nam,Wando-gun
34,17,100.0,M,Jeon-Nam,Yeosu-si
11,18,100.0,M,Jeon-Nam,Sinan-gun
12,18,100.0,M,Jeon-Nam,Sinan-gun
24,18,100.0,N,Jeju,Jeju-si
34,18,100.0,M,Jeon-Nam,Yeosu-si
35,18,100.0,M,Jeon-Nam,Yeosu-si
37,18,100.0,M,Jeon-Nam,Yeosu-si
11,19,100.0,M,Jeon-Nam,Sinan-gun
12,19,100.0,M,Jeon-Nam,Sinan-gun
20,19,100.0,M,Jeon-Nam,Jindo-gun
25,19,100.0,M,Jeon-Nam,Wando-gun
26,19,100.0,M,Jeon-Nam,Wando-gun
27,19,100.0,M,Jeon-Nam,Wando-gun
28,19,100.0,M,Jeon-Nam,Wando-gun
29,19,100.0,M,Jeon-Nam,Wando-gun
30,19,100.0,M,Jeon-Nam,Wando-gun
36,19,100.0,M,Jeon-Nam,Yeosu-si
15,20,100.0,M,Jeon-Nam,Sinan-gun
16,20,100.0,M,Jeon-Nam,Sinan-gun
19,20,100.0,M,Jeon-Nam,Jindo-gun
20,20,100.0,M,Jeon-Nam,Jindo-gun
21,20,100.0,M,Jeon-Nam,Jindo-gun
22,20,100.0,M,Jeon-Nam,Jindo-gun
23,20,100.0,M,Jeon-Nam,Jindo-gun
24,20,21.4,M,Jeon-Nam,Wando-gun
24,20,78.6,M,Jeon-Nam,Jindo-gun
25,20,100.0,M,Jeon-Nam,Wando-gun
26,20,100.0,M,Jeon-Nam,Wando-gun
27,20,100.0,M,Jeon-Nam,Wando-gun
28,20,100.0,M,Jeon-Nam,Wando-gun
29,20,100.0,M,Jeon-Nam,Wando-gun
30,20,100.0,M,Jeon-Nam,Wando-gun
31,20,100.0,M,Jeon-Nam,Wando-gun
32,20,100.0,M,Jeon-Nam,Wando-gun
33,20,94.9,M,Jeon-Nam,Yeosu-si
33,20,5.1,M,Jeon-Nam,Wando-gun
34,20,100.0,M,Jeon-Nam,Yeosu-si
35,20,100.0,M,Jeon-Nam,Yeosu-si
36,20,100.0,M,Jeon-Nam,Yeosu-si
20,21,100.0,M,Jeon-Nam,Jindo-gun
21,21,100.0,M,Jeon-Nam,Jindo-gun
22,21,100.0,M,Jeon-Nam,Jindo-gun
24,21,100.0,M,Jeon-Nam,Jindo-gun
25,21,45.0,M,Jeon-Nam,Haenam-gun
25,21,54.8,M,Jeon-Nam,Wando-gun
25,21,0.2,M,Jeon-Nam,Jindo-gun
26,21,89.7,M,Jeon-Nam,Haenam-gun
26,21,10.3,M,Jeon-Nam,Wando-gun
27,21,44.8,M,Jeon-Nam,Haenam-gun
27,21,55.2,M,Jeon-Nam,Wando-gun
28,21,100.0,M,Jeon-Nam,Wando-gun
29,21,100.0,M,Jeon-Nam,Wando-gun
30,21,100.0,M,Jeon-Nam,Wando-gun
31,21,100.0,M,Jeon-Nam,Wando-gun
32,21,100.0,M,Jeon-Nam,Wando-gun
33,21,100.0,M,Jeon-Nam,Yeosu-si
34,21,93.0,M,Jeon-Nam,Yeosu-si
34,21,7.0,M,Jeon-Nam,Goheung-gun
35,21,100.0,M,Jeon-Nam,Yeosu-si
36,21,100.0,M,Jeon-Nam,Yeosu-si
