X(Column),Y(Row),SIG_CD,광역지자체,SIG_ENG_NM,SIG_KOR_NM,ratio
23,7,50130,제주,Seogwipo-si,서귀포시,1.0
24,7,50130,제주,Seogwipo-si,서귀포시,1.0
22,8,50130,제주,Seogwipo-si,서귀포시,1.0
23,8,50110,제주,Jeju-si,제주시,0.0002643350658141739
23,8,50130,제주,Seogwipo-si,서귀포시,0.9997356649341859
24,8,50130,제주,Seogwipo-si,서귀포시,1.0
25,8,50130,제주,Seogwipo-si,서귀포시,1.0
26,8,50130,제주,Seogwipo-si,서귀포시,1.0
27,8,50130,제주,Seogwipo-si,서귀포시,1.0
28,8,50130,제주,Seogwipo-si,서귀포시,1.0
22,9,50110,제주,Jeju-si,제주시,0.8519001303524976
22,9,50130,제주,Seogwipo-si,서귀포시,0.14809986964750232
23,9,50110,제주,Jeju-si,제주시,0.7951613227329861
23,9,50130,제주,Seogwipo-si,서귀포시,0.20483863484902737
24,9,50110,제주,Jeju-si,제주시,0.3193976266874633
24,9,50130,제주,Seogwipo-si,서귀포시,0.6806023733125367
25,9,50110,제주,Jeju-si,제주시,0.09051606923104796
25,9,50130,제주,Seogwipo-si,서귀포시,0.9094838949251576
26,9,50110,제주,Jeju-si,제주시,9.184160980533933e-05
26,9,50130,제주,Seogwipo-si,서귀포시,0.9999081562324829
27,9,50130,제주,Seogwipo-si,서귀포시,1.0
28,9,50130,제주,Seogwipo-si,서귀포시,1.0
29,9,50130,제주,Seogwipo-si,서귀포시,1.0
30,9,50130,제주,Seogwipo-si,서귀포시,1.0
23,10,50110,제주,Jeju-si,제주시,1.0
24,10,50110,제주,Jeju-si,제주시,1.0
25,10,50110,제주,Jeju-si,제주시,0.9854461804373135
25,10,50130,제주,Seogwipo-si,서귀포시,0.014553787691745873
26,10,50110,제주,Jeju-si,제주시,0.8953390410126971
26,10,50130,제주,Seogwipo-si,서귀포시,0.1046608710259068
27,10,50110,제주,Jeju-si,제주시,0.6105687642449819
27,10,50130,제주,Seogwipo-si,서귀포시,0.38943123575501803
28,10,50110,제주,Jeju-si,제주시,0.21114604406444262
28,10,50130,제주,Seogwipo-si,서귀포시,0.7888519745262518
29,10,50110,제주,Jeju-si,제주시,0.008384224319570657
29,10,50130,제주,Seogwipo-si,서귀포시,0.9916157756804294
30,10,50130,제주,Seogwipo-si,서귀포시,1.0
23,11,50110,제주,Jeju-si,제주시,1.0
24,11,50110,제주,Jeju-si,제주시,1.0
25,11,50110,제주,Jeju-si,제주시,1.0
26,11,50110,제주,Jeju-si,제주시,1.0
27,11,50110,제주,Jeju-si,제주시,1.0
28,11,50110,제주,Jeju-si,제주시,1.0
29,11,50110,제주,Jeju-si,제주시,0.8204061944862308
29,11,50130,제주,Seogwipo-si,서귀포시,0.17959380551376922
30,11,50110,제주,Jeju-si,제주시,0.4503130719370126
30,11,50130,제주,Seogwipo-si,서귀포시,0.549681377560234
31,11,50110,제주,Jeju-si,제주시,1.0
26,12,50110,제주,Jeju-si,제주시,1.0
27,12,50110,제주,Jeju-si,제주시,1.0
28,12,50110,제주,Jeju-si,제주시,1.0
29,12,50110,제주,Jeju-si,제주시,1.0
30,12,50110,제주,Jeju-si,제주시,1.0
24,14,50110,제주,Jeju-si,제주시,1.0
24,16,50110,제주,Jeju-si,제주시,1.0
25,16,50110,제주,Jeju-si,제주시,1.0
27,16,50110,제주,Jeju-si,제주시,1.0
23,17,50110,제주,Jeju-si,제주시,1.0
24,17,50110,제주,Jeju-si,제주시,1.0
25,17,50110,제주,Jeju-si,제주시,1.0
30,17,46890,전남,Wando-gun,완도군,1.0
34,17,46130,전남,Yeosu-si,여수시,1.0
