A_O3_ALL,B_O3_ALL,C_O3_ALL,D_O3_ALL,E_O3_ALL,F_O3_ALL,G_O3_ALL,H_O3_ALL,I_O3_ALL,J_O3_ALL,K_O3_ALL,L_O3_ALL,M_O3_ALL,N_O3_ALL,O_O3_ALL,P_O3_ALL,Q_O3_ALL
0.013572649,0.03654354,0.027883466,0.028066438,0.03157024,0.026549442,0.03691358,0.03216652,0.03370779,0.03543382,0.034927435,0.037503157,0.039574344,0.04260715,0.029124826,0.0309615,0.027419403
0.012559236,0.036504503,0.027750975,0.028224934,0.033109915,0.025329275,0.03679765,0.032581493,0.0347454,0.03519811,0.03489441,0.03836807,0.03977709,0.04216167,0.02925149,0.032091897,0.028825605
0.014477693,0.03624592,0.027267078,0.026701404,0.030305982,0.02685886,0.036835223,0.03248627,0.03331165,0.034458682,0.034198754,0.03750073,0.038952976,0.042771798,0.02840412,0.029280165,0.026994752
0.013236197,0.03654163,0.028621277,0.028417364,0.03059688,0.026584145,0.03671506,0.031225383,0.032783393,0.034744967,0.03475421,0.036688536,0.03916763,0.04184597,0.027565382,0.030707052,0.026067765
0.016483754,0.036902156,0.027524468,0.02677217,0.030893123,0.028686572,0.037206132,0.032220993,0.033799805,0.034743465,0.034060955,0.03761102,0.039133474,0.04317608,0.029576192,0.029506117,0.027315272
0.012727938,0.036169354,0.029225975,0.028308671,0.031114608,0.025665011,0.036208607,0.031574436,0.033738825,0.035628833,0.035829928,0.037964903,0.039785232,0.042325944,0.02964886,0.032621343,0.02799666
0.014267082,0.036996182,0.026506206,0.02829982,0.033114444,0.028289545,0.038334664,0.033306614,0.03466543,0.035349794,0.0345632,0.037598964,0.039669316,0.04278,0.030442823,0.030035328,0.028827796
0.01319497,0.03627393,0.024957819,0.028579744,0.033328902,0.025600754,0.036484484,0.03283906,0.033190064,0.035527457,0.034027264,0.037382226,0.039582342,0.04212472,0.030216018,0.029182693,0.027999653
0.017057525,0.037932064,0.028579488,0.029797077,0.03320531,0.029645648,0.037857335,0.03437161,0.034708396,0.036385193,0.034887515,0.037810378,0.040312633,0.04229125,0.03203609,0.03092863,0.029714854
0.0120226415,0.036016375,0.031316426,0.02940611,0.031702507,0.024859758,0.035849333,0.03129624,0.03463551,0.03586799,0.0362181,0.03760789,0.03967011,0.042610794,0.029301556,0.030903073,0.027660469
0.013671764,0.036138613,0.02876563,0.02833671,0.0318269,0.026166294,0.036569435,0.032079868,0.033303402,0.03565813,0.034168776,0.037613116,0.03927081,0.04302111,0.028071346,0.030747298,0.02658554
0.013068015,0.0361591,0.02763075,0.02800575,0.03149428,0.024886616,0.036055364,0.03129659,0.032089338,0.035202738,0.035332594,0.036715586,0.039030083,0.04216611,0.027566204,0.030316444,0.02603479
0.013830573,0.036571108,0.026814952,0.028172972,0.031097895,0.027776953,0.037024472,0.033835914,0.03515052,0.035688046,0.03438425,0.03727198,0.039171938,0.042863596,0.03165441,0.031443775,0.029436082
0.014298058,0.036635496,0.026905969,0.028540047,0.030818867,0.027081972,0.037301075,0.033758756,0.033989683,0.036471803,0.03517903,0.038271826,0.039748866,0.042732164,0.029800756,0.03151005,0.028863342
0.0118390955,0.036371134,0.028844561,0.027027655,0.030742176,0.024416028,0.035763413,0.030768089,0.033051692,0.0347334,0.03419157,0.036660727,0.03886439,0.041945748,0.028146226,0.031842936,0.026074857
0.013222378,0.036064327,0.02666972,0.027445648,0.032667246,0.026151394,0.037379548,0.031896792,0.033680655,0.03458515,0.035348732,0.037204057,0.039494637,0.042889114,0.028507743,0.029979566,0.02751183
0.0141066555,0.03685009,0.027897,0.027860558,0.030638054,0.027414517,0.037149634,0.032130837,0.03432627,0.03531932,0.0357462,0.037589356,0.0394952,0.04294624,0.030252026,0.03206601,0.02870241
0.013107496,0.036698323,0.027324265,0.028152414,0.03100554,0.025614034,0.03657793,0.031456813,0.033472594,0.035334766,0.035092384,0.036798757,0.039340906,0.042396974,0.029211663,0.03136919,0.026918123
0.013331853,0.036697447,0.030435383,0.028266845,0.031432025,0.026653659,0.036991373,0.032037795,0.033471886,0.035783064,0.03542587,0.037522383,0.039452627,0.042802963,0.029991927,0.03159767,0.027527208
0.012795502,0.036027487,0.026639918,0.026658257,0.03160874,0.024871172,0.03652445,0.031242073,0.033404272,0.034982685,0.034939133,0.03698091,0.03914153,0.042274754,0.028924596,0.030779151,0.027212339
0.015812438,0.036886435,0.028737998,0.028140524,0.03275605,0.029141713,0.03806326,0.03267424,0.03337462,0.03546295,0.034819663,0.038024522,0.040130153,0.04244092,0.028329901,0.030714694,0.02743344
